,total_claims,total_30day_fills,total_days_supply,total_drug_cost,event_total
419,82.0,82.0,,,
420,82.0,82.0,,,
421,82.0,82.0,,,
422,82.0,82.0,,,
423,82.0,82.0,,,
424,82.0,82.0,,,
425,82.0,82.0,,,
426,82.0,82.0,,,
427,82.0,82.0,,,
428,82.0,82.0,,,
429,82.0,82.0,,,
430,82.0,82.0,,,
431,82.0,82.0,,,
432,82.0,82.0,,,
433,82.0,82.0,,,
434,82.0,82.0,,,
435,82.0,82.0,,,
436,82.0,82.0,,,
437,82.0,82.0,,,
438,82.0,82.0,,,
439,82.0,82.0,,,
440,82.0,82.0,,,
441,82.0,82.0,,,
442,82.0,82.0,,,
443,82.0,82.0,,,
444,82.0,82.0,,,
445,82.0,82.0,,,
446,82.0,82.0,,,
447,82.0,82.0,,,
448,82.0,82.0,,,
449,82.0,82.0,,,
450,,,,,
451,281.0,345.0,10315.0,,
452,281.0,345.0,10315.0,,
453,281.0,345.0,10315.0,,
454,281.0,345.0,10315.0,,
455,281.0,345.0,10315.0,,
456,281.0,345.0,10315.0,,
457,281.0,345.0,10315.0,,
458,281.0,345.0,10315.0,,
459,281.0,345.0,10315.0,,
460,281.0,345.0,10315.0,,
461,281.0,345.0,10315.0,,
462,281.0,345.0,10315.0,,
463,281.0,345.0,10315.0,,
464,281.0,345.0,10315.0,,
465,281.0,345.0,10315.0,,
466,281.0,345.0,10315.0,,
467,281.0,345.0,10315.0,,
468,281.0,345.0,10315.0,,
469,281.0,345.0,10315.0,,
470,281.0,345.0,10315.0,,
471,281.0,345.0,10315.0,,
472,281.0,345.0,10315.0,,
473,281.0,345.0,10315.0,,
474,281.0,345.0,10315.0,,
475,281.0,345.0,10315.0,,
476,281.0,345.0,10315.0,,
477,281.0,345.0,10315.0,,
478,281.0,345.0,10315.0,,
479,281.0,345.0,10315.0,,
480,281.0,345.0,10315.0,,
481,281.0,345.0,10315.0,,
482,281.0,345.0,10315.0,,
483,281.0,345.0,10315.0,,
484,281.0,345.0,10315.0,,
485,281.0,345.0,10315.0,,
486,281.0,345.0,10315.0,,
487,281.0,345.0,10315.0,,
488,281.0,345.0,10315.0,,
489,281.0,345.0,10315.0,,
490,281.0,345.0,10315.0,,
491,281.0,345.0,10315.0,,
492,281.0,345.0,10315.0,,
493,281.0,345.0,10315.0,,
494,281.0,345.0,10315.0,,
495,281.0,345.0,10315.0,,
496,281.0,345.0,10315.0,,
497,281.0,345.0,10315.0,,
498,281.0,345.0,10315.0,,
499,281.0,345.0,10315.0,,
500,281.0,345.0,10315.0,,
501,281.0,345.0,10315.0,,
502,281.0,345.0,10315.0,,
503,281.0,345.0,10315.0,,
504,281.0,345.0,10315.0,,
505,281.0,345.0,10315.0,,
506,281.0,345.0,10315.0,,
507,281.0,345.0,10315.0,,
508,281.0,345.0,10315.0,,
509,281.0,345.0,10315.0,,
510,281.0,345.0,10315.0,,
511,281.0,345.0,10315.0,,
512,281.0,345.0,10315.0,,
513,281.0,345.0,10315.0,,
514,281.0,345.0,10315.0,,
515,281.0,345.0,10315.0,,
516,281.0,345.0,10315.0,,
517,281.0,345.0,10315.0,,
518,281.0,345.0,10315.0,,
519,281.0,345.0,10315.0,,
520,281.0,345.0,10315.0,,
521,281.0,345.0,10315.0,,
522,281.0,345.0,10315.0,,
523,281.0,345.0,10315.0,,
524,281.0,345.0,10315.0,,
525,281.0,345.0,10315.0,,
526,281.0,345.0,10315.0,,
527,281.0,345.0,10315.0,,
528,281.0,345.0,10315.0,,
529,281.0,345.0,10315.0,,
530,281.0,345.0,10315.0,,
531,281.0,345.0,10315.0,,
532,281.0,345.0,10315.0,,
533,281.0,345.0,10315.0,,
534,281.0,345.0,10315.0,,
535,281.0,345.0,10315.0,,
536,281.0,345.0,10315.0,,
537,281.0,345.0,10315.0,,
538,281.0,345.0,10315.0,,
539,281.0,345.0,10315.0,,
540,281.0,345.0,10315.0,,
541,281.0,345.0,10315.0,,
542,281.0,345.0,10315.0,,
543,281.0,345.0,10315.0,,
544,281.0,345.0,10315.0,,
545,281.0,345.0,10315.0,,
546,281.0,345.0,10315.0,,
547,281.0,345.0,10315.0,,
548,281.0,345.0,10315.0,,
549,281.0,345.0,10315.0,,
550,281.0,345.0,10315.0,,
551,281.0,345.0,10315.0,,
552,281.0,345.0,10315.0,,
553,281.0,345.0,10315.0,,
554,281.0,345.0,10315.0,,
555,281.0,345.0,10315.0,,
556,281.0,345.0,10315.0,,
557,281.0,345.0,10315.0,,
558,281.0,345.0,10315.0,,
559,281.0,345.0,10315.0,,
560,281.0,345.0,10315.0,,
561,281.0,345.0,10315.0,,
562,281.0,345.0,10315.0,,
563,281.0,345.0,10315.0,,
564,281.0,345.0,10315.0,,
565,281.0,345.0,10315.0,,
566,281.0,345.0,10315.0,,
567,281.0,345.0,10315.0,,
568,281.0,345.0,10315.0,,
569,281.0,345.0,10315.0,,
570,281.0,345.0,10315.0,,
571,281.0,345.0,10315.0,,
572,281.0,345.0,10315.0,,
573,281.0,345.0,10315.0,,
574,281.0,345.0,10315.0,,
575,281.0,345.0,10315.0,,
576,281.0,345.0,10315.0,,
577,281.0,345.0,10315.0,,
578,281.0,345.0,10315.0,,
579,281.0,345.0,10315.0,,
580,281.0,345.0,10315.0,,
581,281.0,345.0,10315.0,,
582,281.0,345.0,10315.0,,
583,281.0,345.0,10315.0,,
584,281.0,345.0,10315.0,,
585,281.0,345.0,10315.0,,
586,281.0,345.0,10315.0,,
587,281.0,345.0,10315.0,,
588,281.0,345.0,10315.0,,
589,281.0,345.0,10315.0,,
590,281.0,345.0,10315.0,,
591,281.0,345.0,10315.0,,
592,281.0,345.0,10315.0,,
593,281.0,345.0,10315.0,,
594,281.0,345.0,10315.0,,
595,281.0,345.0,10315.0,,
596,281.0,345.0,10315.0,,
597,281.0,345.0,10315.0,,
598,281.0,345.0,10315.0,,
599,281.0,345.0,10315.0,,
600,281.0,345.0,10315.0,,
601,281.0,345.0,10315.0,,
602,281.0,345.0,10315.0,,
603,281.0,345.0,10315.0,,
604,281.0,345.0,10315.0,,
605,281.0,345.0,10315.0,,
606,281.0,345.0,10315.0,,
607,281.0,345.0,10315.0,,
608,281.0,345.0,10315.0,,
609,281.0,345.0,10315.0,,
610,281.0,345.0,10315.0,,
611,281.0,345.0,10315.0,,
612,281.0,345.0,10315.0,,
613,281.0,345.0,10315.0,,
614,281.0,345.0,10315.0,,
615,281.0,345.0,10315.0,,
616,281.0,345.0,10315.0,,
617,281.0,345.0,10315.0,,
618,281.0,345.0,10315.0,,
619,281.0,345.0,10315.0,,
620,281.0,345.0,10315.0,,
621,281.0,345.0,10315.0,,
622,281.0,345.0,10315.0,,
623,281.0,345.0,10315.0,,
624,281.0,345.0,10315.0,,
625,281.0,345.0,10315.0,,
626,355.0,355.5,9511.0,,
627,,,,,
628,,,,,
629,,,,,
630,,,,,
631,,,,,
632,,,,,
633,,,,,
634,,,,,
635,,,,,
636,,,,,
637,,,,,
638,,,,,
639,,,,,
640,,,,,
641,,,,,
642,,,,,
643,,,,,
644,,,,,
645,,,,,
646,,,,,
647,,,,,
648,,,,,
649,,,,,
650,,,,,
651,,,,,
652,,,,,
653,,,,,
654,,,,,
655,,,,,
656,,,,,
657,,,,,
658,,,,,
659,,,,,
660,,,,,
661,,,,,
662,,,,,
663,,,,,
664,,,,,
665,,,,,
666,57.0,65.0,1948.0,,
667,57.0,65.0,1948.0,,
668,57.0,65.0,1948.0,,
669,57.0,65.0,1948.0,,
670,57.0,65.0,1948.0,,
671,57.0,65.0,1948.0,,
672,57.0,65.0,1948.0,,
673,57.0,65.0,1948.0,,
674,57.0,65.0,1948.0,,
675,57.0,65.0,1948.0,,
676,57.0,65.0,1948.0,,
677,57.0,65.0,1948.0,,
678,57.0,65.0,1948.0,,
679,57.0,65.0,1948.0,,
680,57.0,65.0,1948.0,,
681,57.0,65.0,1948.0,,
682,57.0,65.0,1948.0,,
683,57.0,65.0,1948.0,,
684,57.0,65.0,1948.0,,
685,57.0,65.0,1948.0,,
686,57.0,65.0,1948.0,,
687,57.0,65.0,1948.0,,
688,57.0,65.0,1948.0,,
689,57.0,65.0,1948.0,,
690,57.0,65.0,1948.0,,
691,57.0,65.0,1948.0,,
692,57.0,65.0,1948.0,,
693,57.0,65.0,1948.0,,
694,57.0,65.0,1948.0,,
695,57.0,65.0,1948.0,,
696,57.0,65.0,1948.0,,
697,57.0,65.0,1948.0,,
698,57.0,65.0,1948.0,,
699,57.0,65.0,1948.0,,
700,57.0,65.0,1948.0,,
701,57.0,65.0,1948.0,,
702,57.0,65.0,1948.0,,
703,57.0,65.0,1948.0,,
704,57.0,65.0,1948.0,,
705,57.0,65.0,1948.0,,
706,57.0,65.0,1948.0,,
707,57.0,65.0,1948.0,,
708,57.0,65.0,1948.0,,
709,57.0,65.0,1948.0,,
710,57.0,65.0,1948.0,,
711,57.0,65.0,1948.0,,
712,57.0,65.0,1948.0,,
713,57.0,65.0,1948.0,,
714,57.0,65.0,1948.0,,
715,57.0,65.0,1948.0,,
716,57.0,65.0,1948.0,,
717,57.0,65.0,1948.0,,
718,57.0,65.0,1948.0,,
719,57.0,65.0,1948.0,,
720,57.0,65.0,1948.0,,
721,57.0,65.0,1948.0,,
722,57.0,65.0,1948.0,,
723,57.0,65.0,1948.0,,
724,57.0,65.0,1948.0,,
725,57.0,65.0,1948.0,,
726,,,,,
727,,,,,
728,,,,,
729,,,,,
730,,,,,
731,,,,,
732,,,,,
733,,,,,
734,,,,,
735,,,,,
736,,,,,
737,,,,,
738,,,,,
739,,,,,
740,,,,,
741,,,,,
742,,,,,
743,,,,,
744,,,,,
745,,,,,
746,,,,,
747,,,,,
748,,,,,
749,,,,,
750,,,,,
751,,,,,
752,,,,,
753,,,,,
754,,,,,
755,,,,,
756,,,,,
757,,,,,
758,,,,,
759,,,,,
760,,,,,
761,,,,,
762,,,,,
763,,,,,
764,,,,,
765,,,,,
766,,,,,
767,,,,,
768,,,,,
769,,,,,
770,,,,,
771,,,,,
772,,,,,
773,,,,,
774,,,,,
775,,,,,
776,,,,,
777,,,,,
778,,,,,
779,,,,,
780,,,,,
781,,,,,
782,,,,,
783,,,,,
784,,,,,
785,,,,,
786,,,,,
787,,,,,
788,,,,,
789,,,,,
790,,,,,
791,,,,,
792,,,,,
793,,,,,
794,,,,,
795,,,,,
796,,,,,
797,,,,,
798,,,,,
799,,,,,
800,,,,,
801,,,,,
802,,,,,
803,,,,,
804,,,,,
805,,,,,
806,,,,,
807,,,,,
808,,,,,
809,,,,,
810,,,,,
811,,,,,
812,,,,,
813,,,,,
814,,,,,
815,,,,,
816,,,,,
817,,,,,
818,,,,,
819,,,,,
820,,,,,
821,,,,,
822,,,,,
823,,,,,
824,,,,,
825,,,,,
826,,,,,
827,,,,,
828,,,,,
829,,,,,
830,,,,,
831,,,,,
832,,,,,
833,,,,,
834,,,,,
835,,,,,
836,,,,,
837,,,,,
838,,,,,
839,,,,,
840,,,,,
841,,,,,
842,,,,,
843,,,,,
844,,,,,
845,,,,,
846,,,,,
847,,,,,
848,,,,,
849,,,,,
850,,,,,
851,,,,,
852,,,,,
853,,,,,
854,,,,,
855,,,,,
856,,,,,
857,,,,,
858,,,,,
859,,,,,
860,,,,,
861,,,,,
862,,,,,
863,,,,,
864,,,,,
865,,,,,
866,,,,,
867,,,,,
868,,,,,
869,,,,,
870,,,,,
871,,,,,
872,,,,,
873,,,,,
874,,,,,
875,,,,,
876,,,,,
877,,,,,
878,,,,,
879,,,,,
880,,,,,
881,,,,,
882,,,,,
883,,,,,
884,,,,,
885,,,,,
886,,,,,
887,,,,,
888,,,,,
889,,,,,
890,,,,,
891,,,,,
892,,,,,
893,,,,,
894,,,,,
895,,,,,
896,,,,,
897,,,,,
898,,,,,
899,,,,,
900,,,,,
901,,,,,
902,,,,,
903,,,,,
904,,,,,
905,,,,,
906,,,,,
907,,,,,
908,,,,,
909,,,,,
910,,,,,
911,,,,,
912,,,,,
913,,,,,
914,,,,,
915,,,,,
916,,,,,
917,,,,,
918,,,,,
919,,,,,
920,,,,,
921,,,,,
922,,,,,
923,,,,,
924,,,,,
925,,,,,
926,,,,,
927,,,,,
928,,,,,
929,,,,,
930,,,,,
931,,,,,
932,,,,,
933,,,,,
934,,,,,
935,,,,,
936,,,,,
937,,,,,
938,,,,,
939,,,,,
940,,,,,
941,,,,,
942,,,,,
943,,,,,
944,,,,,
945,,,,,
946,,,,,
947,,,,,
948,,,,,
949,,,,,
950,,,,,
951,,,,,
952,,,,,
953,,,,,
954,,,,,
955,,,,,
956,,,,,
957,,,,,
958,,,,,
959,,,,,
960,,,,,
961,,,,,
962,,,,,
963,,,,,
964,,,,,
965,,,,,
966,,,,,
967,,,,,
968,,,,,
969,,,,,
970,,,,,
971,,,,,
972,,,,,
973,,,,,
974,,,,,
975,,,,,
976,,,,,
977,,,,,
978,,,,,
979,,,,,
980,,,,,
981,,,,,
982,,,,,
983,,,,,
984,,,,,
985,,,,,
986,,,,,
987,,,,,
988,,,,,
989,,,,,
990,,,,,
991,,,,,
992,,,,,
993,,,,,
994,,,,,
995,,,,,
996,,,,,
997,,,,,
998,,,,,
999,,,,,
1000,,,,,
1001,,,,,
1002,,,,,
1003,,,,,
1004,,,,,
1005,,,,,
1006,,,,,
1007,,,,,
1008,,,,,
1009,,,,,
1010,,,,,
1011,,,,,
1012,,,,,
1013,,,,,
1014,,,,,
1015,,,,,
1016,,,,,
1017,,,,,
1018,,,,,
1019,,,,,
1020,,,,,
1021,,,,,
1022,,,,,
1023,,,,,
1024,,,,,
1025,,,,,
1026,,,,,
1027,,,,,
1028,,,,,
1029,,,,,
1030,,,,,
1031,,,,,
1032,,,,,
1033,,,,,
1034,,,,,
1035,84.0,84.0,2439.0,,
1036,194.0,194.0,5644.0,,
1037,143.0,153.0,4425.0,,
1038,143.0,153.0,4425.0,,
1039,143.0,153.0,4425.0,,
1040,143.0,153.0,4425.0,,
1041,143.0,153.0,4425.0,,
1042,143.0,153.0,4425.0,,
1043,143.0,153.0,4425.0,,
1044,143.0,153.0,4425.0,,
1045,143.0,153.0,4425.0,,
1046,143.0,153.0,4425.0,,
1047,143.0,153.0,4425.0,,
1048,143.0,153.0,4425.0,,
1049,143.0,153.0,4425.0,,
1050,143.0,153.0,4425.0,,
1051,143.0,153.0,4425.0,,
1052,143.0,153.0,4425.0,,
1053,143.0,153.0,4425.0,,
1054,143.0,153.0,4425.0,,
1055,143.0,153.0,4425.0,,
1056,143.0,153.0,4425.0,,
1057,143.0,153.0,4425.0,,
1058,143.0,153.0,4425.0,,
1059,143.0,153.0,4425.0,,
1060,143.0,153.0,4425.0,,
1061,143.0,153.0,4425.0,,
1062,143.0,153.0,4425.0,,
1063,143.0,153.0,4425.0,,
1064,143.0,153.0,4425.0,,
1065,143.0,153.0,4425.0,,
1066,143.0,153.0,4425.0,,
1067,143.0,153.0,4425.0,,
1068,143.0,153.0,4425.0,,
1069,143.0,153.0,4425.0,,
1070,143.0,153.0,4425.0,,
1071,143.0,153.0,4425.0,,
1072,143.0,153.0,4425.0,,
1073,143.0,153.0,4425.0,,
1074,143.0,153.0,4425.0,,
1075,143.0,153.0,4425.0,,
1076,143.0,153.0,4425.0,,
1077,143.0,153.0,4425.0,,
1078,143.0,153.0,4425.0,,
1079,143.0,153.0,4425.0,,
1080,143.0,153.0,4425.0,,
1081,143.0,153.0,4425.0,,
1082,143.0,153.0,4425.0,,
1083,143.0,153.0,4425.0,,
1084,143.0,153.0,4425.0,,
1085,143.0,153.0,4425.0,,
1086,143.0,153.0,4425.0,,
1087,143.0,153.0,4425.0,,
1088,143.0,153.0,4425.0,,
1089,143.0,153.0,4425.0,,
1090,143.0,153.0,4425.0,,
1091,143.0,153.0,4425.0,,
1092,143.0,153.0,4425.0,,
1093,143.0,153.0,4425.0,,
1094,143.0,153.0,4425.0,,
1095,143.0,153.0,4425.0,,
1096,143.0,153.0,4425.0,,
1097,143.0,153.0,4425.0,,
1098,143.0,153.0,4425.0,,
1099,143.0,153.0,4425.0,,
1100,143.0,153.0,4425.0,,
1101,143.0,153.0,4425.0,,
1102,143.0,153.0,4425.0,,
1103,143.0,153.0,4425.0,,
1104,143.0,153.0,4425.0,,
1105,143.0,153.0,4425.0,,
1106,143.0,153.0,4425.0,,
1107,143.0,153.0,4425.0,,
1108,143.0,153.0,4425.0,,
1109,143.0,153.0,4425.0,,
1110,143.0,153.0,4425.0,,
1111,143.0,153.0,4425.0,,
1112,143.0,153.0,4425.0,,
1113,143.0,153.0,4425.0,,
1114,143.0,153.0,4425.0,,
1115,143.0,153.0,4425.0,,
1116,143.0,153.0,4425.0,,
1117,143.0,153.0,4425.0,,
1118,143.0,153.0,4425.0,,
1119,143.0,153.0,4425.0,,
1120,143.0,153.0,4425.0,,
1121,143.0,153.0,4425.0,,
1122,143.0,153.0,4425.0,,
1123,143.0,153.0,4425.0,,
1124,143.0,153.0,4425.0,,
1125,143.0,153.0,4425.0,,
1126,143.0,153.0,4425.0,,
1127,143.0,153.0,4425.0,,
1128,143.0,153.0,4425.0,,
1129,143.0,153.0,4425.0,,
1130,143.0,153.0,4425.0,,
1131,143.0,153.0,4425.0,,
1132,143.0,153.0,4425.0,,
1133,143.0,153.0,4425.0,,
1134,143.0,153.0,4425.0,,
1135,143.0,153.0,4425.0,,
1136,143.0,153.0,4425.0,,
1137,143.0,153.0,4425.0,,
1138,143.0,153.0,4425.0,,
1139,143.0,153.0,4425.0,,
1140,143.0,153.0,4425.0,,
1141,143.0,153.0,4425.0,,
1142,143.0,153.0,4425.0,,
1143,143.0,153.0,4425.0,,
1144,143.0,153.0,4425.0,,
1145,143.0,153.0,4425.0,,
